...Comp Geom...
24 Num Comps
39 Total Num Meshes
70640 Total Num Tris

Theo_Area   Wet_Area   Theo_Vol    Wet_Vol  Name
  653.186    386.796    533.767    509.522  Fuselage       
  107.850     38.704     56.906     32.920  Canopy         
   12.287      0.000      2.740      0.000  Seat           
   14.147      0.000      2.430      0.000  Seat           
   19.807      0.000      3.081      0.000  Pilot (Female 20%)
  146.509     81.687     54.738     49.198  Air Intake     
  146.509     81.687     54.738     49.198  Air Intake     
   84.052     12.621    -89.614    -94.925  S Ducts        
   84.052     12.621    -89.614    -94.925  S Ducts        
  176.068      0.031    161.688      0.045  Main Fuel Tank 
   38.000      0.000     12.000      0.000  Main Fuel Tank 2
   34.500      0.029      9.000      0.012  Main Fuel Tank 3
   12.089      0.000      2.938      0.000  ANAPG-81 Radar 
   19.250      0.000      4.875      0.000  Avioincs       
    0.000      0.000     -0.000     -0.000  F100-PW-229 (Engine)
  169.947      5.197    132.095      6.512  External Casing
   36.294     34.116     93.123     93.123  Nozzle Exit    
    3.023      0.000      0.372      0.000  Front Tire (Stored)
    1.629      0.000      0.026      0.000  Front Tire (Stored)
    3.023      0.000      0.372      0.000  Front Tire (Stored)
    1.629      0.000      0.026      0.000  Front Tire (Stored)
    4.370      0.000      0.250      0.000  Front Struct (Stored)
    4.370      0.000      0.250      0.000  Diagonal Struct (Stored)
    3.023      0.000      0.372      0.000  Aft Tires (Stored)
    6.706      0.057      1.171      0.016  Aft Tires (Stored)
    3.023      0.000      0.372      0.000  Aft Tires (Stored)
    6.706      0.057      1.171      0.016  Aft Tires (Stored)
    9.399      0.000      0.732      0.000  Aft Structs (Stored)
    9.399      0.000      0.732      0.000  Aft Structs (Stored)
    5.463      0.000      0.313      0.000  Aft Structs (Stored)
    5.463      0.000      0.313      0.000  Aft Structs (Stored)
  467.830    363.366    110.383    110.383  Main_Wing      
  467.830    363.366    110.383    110.383  Main_Wing      
  157.876      0.000     38.651      0.000  Wing Fuel Tank 
  157.876      0.000     38.651      0.000  Wing Fuel Tank 
  128.031     97.325     15.842     15.842  HStab          
  128.031     97.325     15.842     15.842  HStab          
   99.377     93.346      8.317      8.317  VStab          
   99.377     93.346      8.317      8.317  VStab          
-------------------------------------------------
 3528.001   1761.678   1297.755    819.798  Totals         

Tag_Theo_Area   Tag_Wet_Area    Tag_Name
      653.186        386.796    Fuselage_S_Surf0
      107.850         38.704    Canopy_S_Surf0 
       12.287          0.000    Seat_S_Surf0   
       14.147          0.000    Seat_S_Surf1   
       19.807          0.000    Pilot (Female 20%)_S_Surf0
      146.509         81.687    Air Intake_S_Surf0
      146.509         81.687    Air Intake_S_Surf1
       84.052         12.621    S Ducts_S_Surf0
       84.052         12.621    S Ducts_S_Surf1
      176.068          0.031    Main Fuel Tank_S_Surf0
       38.000          0.000    Main Fuel Tank 2_S_Surf0
       34.500          0.029    Main Fuel Tank 3_S_Surf0
       12.089          0.000    ANAPG-81 Radar_S_Surf0
       19.250          0.000    Avioincs_S_Surf0
        0.000          0.000    F100-PW-229 (Engine)_S_Surf0
      169.947          5.197    External Casing_S_Surf0
       36.294         34.116    Nozzle Exit_S_Surf0
        3.023          0.000    Front Tire (Stored)_S_Surf0
        1.629          0.000    Front Tire (Stored)_S_Surf1
        3.023          0.000    Front Tire (Stored)_S_Surf2
        1.629          0.000    Front Tire (Stored)_S_Surf3
        4.370          0.000    Front Struct (Stored)_S_Surf0
        4.370          0.000    Diagonal Struct (Stored)_S_Surf0
        3.023          0.000    Aft Tires (Stored)_S_Surf0
        6.706          0.057    Aft Tires (Stored)_S_Surf1
        3.023          0.000    Aft Tires (Stored)_S_Surf2
        6.706          0.057    Aft Tires (Stored)_S_Surf3
        9.399          0.000    Aft Structs (Stored)_S_Surf0
        9.399          0.000    Aft Structs (Stored)_S_Surf1
        5.463          0.000    Aft Structs (Stored)_S_Surf0
        5.463          0.000    Aft Structs (Stored)_S_Surf1
      323.823        220.532    Main_Wing_S_Surf0
      323.823        220.532    Main_Wing_S_Surf1
      157.876          0.000    Wing Fuel Tank_S_Surf0
      157.876          0.000    Wing Fuel Tank_S_Surf1
      128.031         97.325    HStab_S_Surf0  
      128.031         97.325    HStab_S_Surf1  
       74.346         68.316    VStab_S_Surf0  
       74.346         68.316    VStab_S_Surf1  
       62.769         62.769    Main_Wing_S_Surf0,Flaps
       16.752         16.752    Main_Wing_S_Surf0,Ailerons
       64.485         63.313    Main_Wing_S_Surf0,Slats
       62.769         62.769    Main_Wing_S_Surf1,Flaps
       16.752         16.752    Main_Wing_S_Surf1,Ailerons
       64.485         63.313    Main_Wing_S_Surf1,Slats
       25.030         25.030    VStab_S_Surf0,Rudder
       25.030         25.030    VStab_S_Surf1,Rudder

 SS_Theo_Area    SS_Wet_Area    SS_Name
      125.539        125.539    Main_Wing,Flaps
       33.505         33.505    Main_Wing,Ailerons
      128.970        126.625    Main_Wing,Slats
       50.060         50.060    VStab,Rudder   
