WARNING: 1 open meshes merged
     Merged: Main_Wing
...Mass Properties...
45 Num Comps
38 Total Num Meshes
70608 Total Num Tris

1.138430569052386e+03             Total Mass
2.656184695631565e+01 -1.408225944046167e-05 -4.379561668431908e-02       Center of Gravity
2.117901666941294e+04 8.691295251046729e+04 1.063276755950383e+05       Ixx, Iyy, Izz
-6.637197489311611e-01 2.480758865043681e+02 5.841096787170958e-01       Ixy, Ixz, Iyz
1.021996041450906e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Fuselage	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.837711621647290e+02
Canopy	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.989578654056140e+01
Seat	3.931552403016662e+00	1.329593252755587e+01	-2.484451189735623e-07	-2.768600436278076e-01	1.188989241991736e+00	1.731895993146884e+00	2.159651998825936e+00	-4.451238715443476e-03	-4.064893968016021e-01	5.301070134974326e-03	2.615894222517938e+00
Seat	3.724648672629977e+00	1.510625221157405e+01	5.350565127813667e-16	1.504731904788835e+00	3.571503055341285e+00	3.366036544689146e+00	1.261000770902162e+00	-4.352546216280635e-03	9.969671565462705e-01	5.064363084021114e-03	2.478228939837071e+00
Pilot (Female 20%)	6.341226792736931e+00	1.333031620088406e+01	-1.739959430796114e-03	1.009132658419583e+00	3.426257886898294e+00	5.413629828747335e+00	3.883365394575429e+00	-6.655333782136045e-03	1.778651563404754e+00	4.084899447710076e-03	3.143181620704810e+00
Air Intake	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.645814941607499e+01
Air Intake	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.604132257441083e+01
S Ducts	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.299591138818421e+02
S Ducts	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.747426479681920e+01
Main Fuel Tank	2.533965501538098e+02	2.196476187818234e+01	1.258435380747074e-08	6.226670666914236e-02	5.797222638660468e+02	2.994740207206126e+03	2.902860074465312e+03	-3.829480193484257e-01	-1.176075888634042e+02	3.112391837062814e-01	1.621219130862720e+02
Main Fuel Tank 2	1.871586216000069e+01	2.993579999999755e+01	1.403193637477180e-15	9.999999999999543e-01	1.578547776868630e+01	2.668641508494497e+01	3.931230896619715e+01	-2.808935067446253e-02	-4.046268165275023e-03	2.281057411929142e-02	1.197432000000071e+01
Main Fuel Tank 3	1.403806103351350e+01	2.993410322762183e+01	-4.461689533974444e-07	-1.749968896771536e+00	1.132667371262152e+01	1.999000935163803e+01	2.997107716763670e+01	-2.118910801404317e-02	-1.170617907610161e-02	1.471196356674127e-02	8.981484986253339e+00
