...Comp Geom...
94 Num Comps
179 Total Num Meshes
156608 Total Num Tris

Theo_Area   Wet_Area   Theo_Vol    Wet_Vol  Name
  653.186    384.329    533.767    497.987  Fuselage       
  107.850     38.704     56.906     32.382  Canopy         
   12.287      0.000      2.740      0.000  Seat           
   14.147      0.000      2.430      0.000  Seat           
   19.807      0.000      3.081      0.000  Pilot (Female 20%)
  146.509     81.687     54.738     48.393  Air Intake     
  146.509     81.687     54.738     48.393  Air Intake     
   84.052     12.621    -89.614    -94.820  S Ducts        
   84.052     12.621    -89.614    -94.820  S Ducts        
  176.068      0.031    161.688      0.045  Main Fuel Tank 
   38.000      0.000     12.000      0.000  Main Fuel Tank 2
   34.500      0.029      9.000      0.012  Main Fuel Tank 3
   12.089      0.000      2.938      0.000  ANAPG-81 Radar 
   19.250      0.000      4.875      0.000  Avioincs       
    0.000      0.000     -0.000     -0.000  F100-PW-229 (Engine)
  169.947      5.197    132.095      6.405  External Casing
   36.294     34.116     93.123     93.123  Nozzle Exit    
    3.023      3.023      0.372      0.372  Front Tire     
    1.629      0.000      0.026      0.000  Front Tire     
    3.023      3.023      0.372      0.372  Front Tire     
    1.629      0.000      0.026      0.000  Front Tire     
    4.370      3.026      0.250      0.250  Front Struct   
    4.370      2.962      0.250      0.250  Diagonal Struct
    3.023      0.000      0.372      0.000  Front Tire (Stored)
    1.629      0.000      0.026      0.000  Front Tire (Stored)
    3.023      0.000      0.372      0.000  Front Tire (Stored)
    1.629      0.000      0.026      0.000  Front Tire (Stored)
    4.370      0.000      0.250      0.000  Front Struct (Stored)
    4.370      0.000      0.250      0.000  Diagonal Struct (Stored)
    3.023      0.000      0.372      0.000  Aft Tires      
    6.706      6.416      1.171      1.171  Aft Tires      
    3.023      0.000      0.372      0.000  Aft Tires      
    6.706      6.416      1.171      1.171  Aft Tires      
    7.690      7.430      0.599      0.599  Aft Structs    
    7.690      7.430      0.599      0.599  Aft Structs    
    4.916      4.179      0.281      0.281  Aft Structs    
    4.916      4.179      0.281      0.281  Aft Structs    
    2.631      2.624      0.200      0.200  Aft Structs    
    2.631      2.624      0.200      0.200  Aft Structs    
    3.023      0.000      0.372      0.000  Aft Tires (Stored)
    6.706      0.057      1.171      0.016  Aft Tires (Stored)
    3.023      0.000      0.372      0.000  Aft Tires (Stored)
    6.706      0.057      1.171      0.016  Aft Tires (Stored)
    9.399      0.000      0.732      0.000  Aft Structs (Stored)
    9.399      0.000      0.732      0.000  Aft Structs (Stored)
    5.463      0.000      0.313      0.000  Aft Structs (Stored)
    5.463      0.000      0.313      0.000  Aft Structs (Stored)
   21.314      3.655      2.878      0.783  Center Pylon   
  112.682    109.862     57.494     57.494  Center Drop Tank
   11.845     10.383      1.552      1.552  Inward Pylons  
   11.845     10.383      1.552      1.552  Inward Pylons  
   21.500     14.667      3.750      3.750  MK-83 Adapter  
   21.500     14.667      3.750      3.750  MK-83 Adapter  
   27.029      9.413      6.066      3.350  MK-83 JDAM (1) 
   27.029      9.413      6.066      3.350  MK-83 JDAM (1) 
    1.211      1.067      0.038      0.038  Aft Fin 1      
    1.211      1.067      0.038      0.038  Aft Fin 1      
    1.211      0.002      0.038      0.000  Aft Fin 2      
    1.211      0.002      0.038      0.000  Aft Fin 2      
    1.211      1.104      0.038      0.038  Aft Fin 3      
    1.211      1.104      0.038      0.038  Aft Fin 3      
    1.211      0.535      0.038      0.026  Aft Fin 4      
    1.211      0.535      0.038      0.026  Aft Fin 4      
   27.029      9.771      6.066      3.477  MK-83 JDAM (2) 
   27.029      9.771      6.066      3.477  MK-83 JDAM (2) 
    1.211      0.007      0.038      0.000  Aft Fin 1      
    1.211      0.007      0.038      0.000  Aft Fin 1      
    1.211      1.104      0.038      0.038  Aft Fin 2      
    1.211      1.104      0.038      0.038  Aft Fin 2      
    1.211      0.509      0.038      0.025  Aft Fin 3      
    1.211      0.509      0.038      0.025  Aft Fin 3      
    1.211      1.067      0.038      0.038  Aft Fin 4      
    1.211      1.067      0.038      0.038  Aft Fin 4      
  112.682     88.311     57.494     57.494  Side Drop Tanks
  112.682     88.311     57.494     57.494  Side Drop Tanks
   10.375     10.375      1.358      1.358  Middle Pylons  
   10.375     10.375      1.358      1.358  Middle Pylons  
    8.906      8.906      1.164      1.164  Outward Pylons 
    8.906      8.906      1.164      1.164  Outward Pylons 
   20.992      5.317      0.082      0.033  AIM-120C (inner)
   20.992      5.317      0.082      0.033  AIM-120C (inner)
    1.211      1.100      0.038      0.038  Aft Fin 1      
    1.211      1.100      0.038      0.038  Aft Fin 1      
    1.211      1.024      0.038      0.038  Aft Fin 2      
    1.211      1.024      0.038      0.038  Aft Fin 2      
    1.211      1.211      0.038      0.038  Aft Fin 3      
    1.211      1.211      0.038      0.038  Aft Fin 3      
    1.211      1.211      0.038      0.038  Aft Fin 4      
    1.211      1.211      0.038      0.038  Aft Fin 4      
    0.303      0.000      0.005      0.000  Canard 1       
    0.303      0.000      0.005      0.000  Canard 1       
    0.303      0.000      0.005      0.000  Canard 2       
    0.303      0.000      0.005      0.000  Canard 2       
    0.303      0.067      0.005      0.002  Canard 3       
