Weights Parameter,Value,Unit,Description,
W_dg,42781.5,lbs,Flight Design Gross Weight (typ. 50-60% internal fuel for mil. aircraft),x
N_z,10.50,-,Ultimate Design Load Factor (7g * 1.5 = 10.5g),
L,40.00,ft,"Fuselage Length (exclude radome cowling, tail cap)",
D,6.00,ft,Fuselage Structural Depth (height),
W,7.00,ft,Fuselage Structural Width,
W_l,49753,lbs,Landing Design Gross Weight,x
N_l,6.00,-,Ultimate Landing Load Factor,
L_n,48.00,in,"Extended Nose Gear Length, in",y
N_nw,2.00,-,Number Nose Wheels,
L_m,54.00,in,"Extended Length of MLG, in",y
N_en,1.00,-,Number Engines,
T,"29,160.00",lbs,Total engine thrust,
W_en,"3,826.00",lbs,Engine Weight,
D_e,3.88,ft,Engine Diameter ,
L_d,15.50,ft,Duct Length (length from inlet front to engine front face),
K_d,1.31,-,Duct Constant,
L_s,7.00,ft,Single Duct Length,
L_tp,1.77,ft,Length Tailpipe,
N_t,3.00,-,Number Fuel Tanks,
SFC,0.76,-,Specifc Fuel Consumption,
V_t,"1,944.95",gal,Total Fuel Volume (GET FROM ESTHER),x
V_i,578.26,gal,Integral Fuel Tank Volume (wet wing),x
V_p,"1,366.69",gal,Self-Sealing Fuel Tank Vol,
M,1.60,-,Design Max Mach Number,
S_cs,176.45,ft^2,Total Area of Control Surfaces,
N_s,2.00,-,Number Flight Control Systems,
N_c,1.00,-,Number Crew,
N_ci,1.00,-,Num crew equivalents,
N_u,8.00,-,Num hydraulic utility functions,
W_uav,"2,500.00",-,Uninstalled Avionics Weight,
E_instl,1.30,-,Engine Installation Factor,
K_vg,1.62,-,Variable Geometry Inlet,
R_kva,140.00,-,system electrical rating kV * A,
N_gen,1.00,-,Number generators,
L_a,100.00,-,"Electrical Routing Distance, generators to avionics to cockpit",
Ff_car,1.30,-,"Fudge Factor for carrier based aircraft, fuselage and landing gear",
L_sh,15.9167,ft,length of the engine cooling shroud (assumed length of engine ,
S_fw,21.17,ft^2,firewall surface area ,
