Cruise_CL,Cruise_CDi,Takeoff_CL,Takeoff_CDi,Landing_CL,Landing_CDi
-1.21692,0.1499886,-0.5167,0.0545594,-0.27078,0.0584652
-1.106,0.1226802,-0.4185,0.0442461,-0.17093,0.052498
-0.99261,0.0979899,-0.31924,0.0358431,-0.07035,0.0484604
-0.87698,0.0759747,-0.21909,0.0293699,0.03076,0.0463617
-0.75936,0.0566858,-0.11823,0.0248415,0.13222,0.0462068
-0.63999,0.0401678,-0.01686,0.0222684,0.23384,0.047996
-0.51913,0.0264591,0.08483,0.0216565,0.33543,0.0517252
-0.39705,0.0155913,0.18666,0.0230074,0.43678,0.0573858
-0.27402,0.0075896,0.28842,0.0263178,0.53771,0.0649646
-0.15031,0.0024728,0.38993,0.03158,0.63803,0.0744441
-0.02619,0.0002524,0.491,0.0387819,0.73754,0.0858023
0.09804,0.0009339,0.59142,0.0479068,0.83607,0.0990128
0.22212,0.0045154,0.69102,0.0589336,0.93341,0.1140451
0.34576,0.0109888,0.7896,0.0718366,1.0294,0.1308644
0.46868,0.0203391,0.88698,0.086586,1.12386,0.1494315
0.59062,0.0325445,0.983,0.1031476,1.21662,0.1697037
0.71129,0.0475768,1.07746,0.121483,1.30752,0.1916336
0.83044,0.0654012,1.17021,0.1415498,1.3964,0.2151708
0.94781,0.0859762,1.26109,0.1633012,1.48312,0.2402603
1.06315,0.1092544,1.34994,0.1866871,1.56754,0.2668445
1.17622,0.1351815,1.43661,0.2116532,1.64953,0.2948611
1.28678,0.1636978,1.52098,0.2381416,1.72895,0.3242458
1.39461,0.194737,1.60292,0.2660909,1.80572,0.35493
1.49951,0.228227,1.6823,0.2954364,1.87972,0.386843
1.60128,0.2640905,1.75903,0.3261101,1.95086,0.4199108
1.69975,0.3022444,1.83299,0.3580408,2.01906,0.4540565
1.79473,0.3425997,1.90412,0.3911545,2.08426,0.4892009
1.88608,0.3850635,1.97232,0.4253744,2.1464,0.5252629
1.97367,0.4295371,2.03754,0.4606215,2.20543,0.5621588
2.05736,0.4759176,2.09972,0.4968138,2.26132,0.5998029
