WARNING: 1 open meshes merged
     Merged: Main_Wing
...Mass Properties...
45 Num Comps
38 Total Num Meshes
70608 Total Num Tris

1.135891057322639e+03             Total Mass
2.659475224265967e+01 -1.594777251920169e-05 -4.384094526893802e-02       Center of Gravity
2.117280115161348e+04 8.631919491773444e+04 1.057309812222076e+05       Ixx, Iyy, Izz
-4.115939108620534e-01 2.468335188106527e+02 3.308481041248168e-01       Ixy, Ixz, Iyz
1.023495560824521e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Fuselage	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.839963569866646e+02
Canopy	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.009623523343685e+01
Seat	4.002782947726060e+00	1.330387091432242e+01	2.210081899099870e-07	-2.695916099714046e-01	1.160764222981675e+00	1.763243385492366e+00	2.203913013462115e+00	-2.991148841412985e-03	-3.952295774615207e-01	3.008453316161119e-03	2.663288114617411e+00
Seat	3.634342027950614e+00	1.511198993255739e+01	-2.109420346980639e-15	1.519859395217170e+00	3.292153943798185e+00	3.026794327631218e+00	1.171746871332137e+00	-2.640858072569495e-03	9.071502159333633e-01	2.648321551972635e-03	2.418142590767786e+00
Pilot (Female 20%)	6.199557705695142e+00	1.331360686024994e+01	-1.669733187212476e-03	1.003842874483164e+00	3.295705338395544e+00	5.110669870909677e+00	3.651902195230254e+00	7.847026380510106e-04	1.658675749002063e+00	1.894220386225658e-03	3.072959929356596e+00
Air Intake	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.658722413273934e+01
Air Intake	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.658092636524290e+01
S Ducts	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.308626170086853e+02
S Ducts	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.722727468402615e+01
Main Fuel Tank	2.529982996331328e+02	2.196999642603173e+01	5.861083708582789e-07	6.200349507911086e-02	5.781549048999807e+02	2.977528499197029e+03	2.885322272599272e+03	-2.274679533344078e-01	-1.173254599366467e+02	1.765860110146201e-01	1.618671142893568e+02
Main Fuel Tank 2	1.871586215999394e+01	2.993580000000845e+01	1.056739223042308e-15	1.000000000000336e+00	1.570337054838676e+01	2.656455190950336e+01	3.912558765073423e+01	-1.831780982412802e-02	-2.426999151820946e-03	1.210472564386860e-02	1.197431999999560e+01
Main Fuel Tank 3	1.403689661999580e+01	2.993580000000919e+01	-3.935948575433033e-16	-1.750000000000566e+00	1.126636180889554e+01	1.941177102469051e+01	2.934466754309404e+01	-1.391011258980915e-02	-1.919077109536059e-03	9.381920850216462e-03	8.980739999999843e+00
ANAPG-81 Radar	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Avioincs	7.753609690685964e+01	8.606542499998739e+00	-2.792632324977495e-16	-1.999999999999736e-01	2.141880138711301e+01	7.506657455526444e+01	8.347080884368182e+01	-6.116502283328499e-02	-9.695476963010489e-03	4.990539953497285e-02	4.864567500000552e+00
F100-PW-229 (Engine)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
External Casing	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.502027412653564e+01
Nozzle Exit	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.282240930532419e+01
Front Tire (Stored)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Front Tire (Stored)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Front Tire (Stored)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Front Tire (Stored)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Front Struct (Stored)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Diagonal Struct (Stored)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Aft Tires (Stored)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Aft Tires (Stored)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.584420021830447e-03
Aft Tires (Stored)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Aft Tires (Stored)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.062194326007054e-03
Aft Structs (Stored)	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.047263299220759e+00
